,country,year,iso_code,value
0,Albania,2019,AL,38.042
1,Albania,2020,AL,45.015
2,Albania,2021,AL,41.389
3,Albania,2022,AL,44.076
4,Albania,2023,AL,46.62
5,Austria,2019,AT,33.755
6,Austria,2020,AT,36.545
7,Austria,2021,AT,34.792
8,Austria,2022,AT,34.075
9,Austria,2023,AT,40.844
17,Belgium,2023,BE,14.741
16,Belgium,2022,BE,13.816
15,Belgium,2021,BE,13.076
14,Belgium,2020,BE,13.0
13,Belgium,2019,BE,9.929
12,Bosnia and Herzegovina,2021,BA,36.562
11,Bosnia and Herzegovina,2020,BA,39.835
10,Bosnia and Herzegovina,2019,BA,37.454
18,Bulgaria,2019,BG,21.545
19,Bulgaria,2020,BG,23.319
20,Bulgaria,2021,BG,19.445
21,Bulgaria,2022,BG,19.044
22,Bulgaria,2023,BG,22.549
76,Croatia,2019,HR,28.466
77,Croatia,2020,HR,31.023
78,Croatia,2021,HR,31.285
79,Croatia,2022,HR,28.088
80,Croatia,2023,HR,28.051
23,Cyprus,2019,CY,13.777
27,Cyprus,2023,CY,20.213
26,Cyprus,2022,CY,19.427
25,Cyprus,2021,CY,19.069
24,Cyprus,2020,CY,16.879
29,Czech Republic,2020,CZ,17.303
30,Czech Republic,2021,CZ,17.614
31,Czech Republic,2022,CZ,18.123
32,Czech Republic,2023,CZ,18.586
28,Czech Republic,2019,CZ,16.239
42,Denmark,2023,DK,44.396
41,Denmark,2022,DK,42.383
38,Denmark,2019,DK,37.02
39,Denmark,2020,DK,31.681
40,Denmark,2021,DK,41.813
46,Estonia,2019,EE,31.73
50,Estonia,2023,EE,40.95
49,Estonia,2022,EE,38.542
48,Estonia,2021,EE,37.342
47,Estonia,2020,EE,30.069
70,Finland,2023,FI,50.75
69,Finland,2022,FI,47.74
68,Finland,2021,FI,42.819
66,Finland,2019,FI,42.807
67,Finland,2020,FI,43.939
73,France,2021,FR,19.316
75,France,2023,FR,22.283
74,France,2022,FR,20.445
72,France,2020,FR,19.109
71,France,2019,FR,17.174
35,Germany,2021,DE,19.3
36,Germany,2022,DE,20.814
37,Germany,2023,DE,21.562
34,Germany,2020,DE,19.09
33,Germany,2019,DE,17.266
52,Greece,2020,EL,21.749
53,Greece,2021,EL,22.001
54,Greece,2022,EL,22.671
55,Greece,2023,EL,25.269
51,Greece,2019,EL,19.633
81,Hungary,2019,HU,12.634
82,Hungary,2020,HU,13.85
83,Hungary,2021,HU,14.134
84,Hungary,2022,HU,15.128
85,Hungary,2023,HU,17.117
91,Iceland,2019,IS,78.612
94,Iceland,2022,IS,79.475
93,Iceland,2021,IS,80.185
92,Iceland,2020,IS,83.725
90,Ireland,2023,IE,15.253
88,Ireland,2021,IE,12.996
89,Ireland,2022,IE,13.068
86,Ireland,2019,IE,11.979
87,Ireland,2020,IE,16.16
99,Italy,2023,IT,19.594
98,Italy,2022,IT,19.131
97,Italy,2021,IT,18.883
95,Italy,2019,IT,18.181
96,Italy,2020,IT,20.359
176,Kosovo*,2020,XK,24.401
175,Kosovo*,2019,XK,24.215
178,Kosovo*,2022,XK,18.779
177,Kosovo*,2021,XK,22.14
112,Latvia,2021,LV,42.096
114,Latvia,2023,LV,43.223
113,Latvia,2022,LV,43.72
111,Latvia,2020,LV,42.132
110,Latvia,2019,LV,40.929
100,Lithuania,2019,LT,25.474
101,Lithuania,2020,LT,26.773
102,Lithuania,2021,LT,28.166
103,Lithuania,2022,LT,29.599
104,Lithuania,2023,LT,31.926
107,Luxembourg,2021,LU,11.726
108,Luxembourg,2022,LU,14.262
106,Luxembourg,2020,LU,11.699
105,Luxembourg,2019,LU,7.046
109,Luxembourg,2023,LU,14.355
128,Malta,2022,MT,13.969
127,Malta,2021,MT,12.631
129,Malta,2023,MT,15.077
126,Malta,2020,MT,10.714
125,Malta,2019,MT,8.23
118,Montenegro,2022,ME,41.064
119,Montenegro,2023,ME,40.883
115,Montenegro,2019,ME,37.722
117,Montenegro,2021,ME,39.891
116,Montenegro,2020,ME,43.77
131,Netherlands,2020,NL,13.999
130,Netherlands,2019,NL,8.886
132,Netherlands,2021,NL,13.116
133,Netherlands,2022,NL,15.134
134,Netherlands,2023,NL,17.42
123,North Macedonia,2022,MK,19.213
122,North Macedonia,2021,MK,17.8
121,North Macedonia,2020,MK,19.222
120,North Macedonia,2019,MK,17.485
124,North Macedonia,2023,MK,20.214
139,Norway,2023,NO,75.613
137,Norway,2021,NO,74.026
138,Norway,2022,NO,75.875
135,Norway,2019,NO,74.406
136,Norway,2020,NO,77.358
140,Poland,2019,PL,15.377
141,Poland,2020,PL,16.102
142,Poland,2021,PL,15.604
143,Poland,2022,PL,16.629
144,Poland,2023,PL,16.564
147,Portugal,2021,PT,33.982
149,Portugal,2023,PT,35.163
148,Portugal,2022,PT,34.675
146,Portugal,2020,PT,33.982
145,Portugal,2019,PT,30.623
154,Romania,2023,RO,25.757
150,Romania,2019,RO,24.29
151,Romania,2020,RO,24.478
152,Romania,2021,RO,23.871
153,Romania,2022,RO,24.229
159,Serbia,2023,RS,25.428
158,Serbia,2022,RS,24.67
157,Serbia,2021,RS,25.255
155,Serbia,2019,RS,21.443
156,Serbia,2020,RS,26.297
174,Slovakia,2023,SK,16.99
173,Slovakia,2022,SK,17.481
172,Slovakia,2021,SK,17.419
171,Slovakia,2020,SK,17.345
170,Slovakia,2019,SK,16.894
169,Slovenia,2023,SI,25.066
168,Slovenia,2022,SI,25.002
167,Slovenia,2021,SI,25.0
165,Slovenia,2019,SI,21.968
166,Slovenia,2020,SI,25.0
56,Spain,2019,ES,17.852
59,Spain,2022,ES,21.896
60,Spain,2023,ES,24.852
58,Spain,2021,ES,20.55
57,Spain,2020,ES,21.22
164,Sweden,2023,SE,66.393
163,Sweden,2022,SE,66.287
162,Sweden,2021,SE,62.527
161,Sweden,2020,SE,60.124
160,Sweden,2019,SE,55.785
