,Country,Solar generation - TWh,renewable_solar_generation_subindex
0,Albania,0.0,0.0
1,Andorra,0.0,0.0
2,Armenia,0.0,0.0
3,Austria,3.0966739,0.0583
4,Azerbaijan,0.05734,0.00108
5,Belarus,0.17696,0.00333
6,Belgium,5.83751394,0.1099
7,Bosnia and Herzegovina,0.0,0.0
8,Bulgaria,1.9752333,0.03719
9,Croatia,0.171266464,0.00322
10,Cyprus,0.481994154,0.00907
11,Czechia,2.23353094,0.04205
12,Denmark,1.826484,0.03439
13,Estonia,0.40008029999999994,0.00753
14,Finland,0.34414876000000005,0.00648
15,France,16.127265,0.30363
16,Georgia,0.0,0.0
17,Germany,53.1154,1.0
18,Greece,5.9531132,0.11208
19,Hungary,3.8041244,0.07162
20,Iceland,2.1904000000000002e-06,0.0
21,Ireland,0.145860112,0.00275
22,Italy,26.603659600000004,0.50087
23,Kazakhstan,1.3975642000000001,0.02631
24,Kosovo,0.0,0.0
25,Latvia,0.0206114,0.00039
26,Liechtenstein,0.0,0.0
27,Lithuania,0.22225415,0.00418
28,Luxembourg,0.20999409600000002,0.00395
29,Malta,0.0,0.0
30,Moldova,0.0,0.0
31,Monaco,0.0,0.0
32,Montenegro,0.0,0.0
33,Netherlands,12.704415000000001,0.23919
34,North Macedonia,0.0995483252,0.00187
35,Norway,0.24514024599999998,0.00462
36,Poland,5.3162934,0.10009
37,Portugal,2.85755072,0.0538
38,Romania,1.81298624,0.03413
39,Russia,2.038549,0.03838
40,San Marino,0.0,0.0
41,Serbia,0.0,0.0
42,Slovakia,0.63535734,0.01196
43,Slovenia,0.56992548,0.01073
44,Spain,29.0887356,0.54765
45,Sweden,1.6532,0.03112
46,Switzerland,3.5041734,0.06597
47,Turkey,14.309864,0.26941
48,Ukraine,5.1428704,0.09682
49,United Kingdom,12.82139,0.24139
50,Vatican,0.0,0.0
